comparison,dimension,n_images,llm_image_mean,human_image_mean,mean_diff,paired_t,paired_p,paired_cohens_d,pearson_r,n_trials,welch_t,welch_p,welch_cohens_d
All LLMs (per-image mean) vs Human,valence,40,4.2285625,4.257308721068185,-0.028746221068185585,-0.2636599809381645,0.7934300994092599,-0.04168830338005892,0.9616200452946287,3980,-0.1700919014604366,0.8657787333296872,-0.018155511275986237
All LLMs (per-image mean) vs Human,arousal,40,4.1523125,3.7951106467069406,0.35720185329305904,1.908740795080867,0.06367451411385464,0.3017984187668128,0.828135820456045,3980,2.7486511484891363,0.008685296288939433,0.19161120990388414
